Location,Date,Total_Tests,Total_Cases,Total_Confirmed_Cases,Total_Probabble_Cases,Total_Deaths,Total_Confirmed_Deaths,Total_Probabble_Deaths,Daily_Tests,Daily_Cases,Daily_Deaths,Daily_Hospitalizations,Daily Positivity Rate
CT,6/1/2020,268572,42979,40941,2038,3972,3139,833,9252,239,8,434,
CT,6/2/2020,274396,43091,41051,2040,3989,3156,833,5824,112,17,406,
CT,6/3/2020,279457,43239,41171,2068,4007,3171,836,5061,148,18,373,
CT,6/4/2020,285314,43460,41387,2073,4038,3196,842,5857,221,31,350,
CT,6/5/2020,293474,43818,41743,2075,4055,3218,837,8160,358,17,333,
CT,6/6/2020,300281,43968,41895,2073,4071,3229,842,6807,150,16,333,
CT,6/7/2020,305996,44092,42017,2075,4084,3239,845,5715,124,13,324,
CT,6/8/2020,310654,44179,42182,1997,4097,3266,831,4658,87,13,293,
CT,6/9/2020,315014,44347,42448,1899,4120,3283,837,4360,168,23,270,
CT,6/10/2020,320044,44461,42557,1904,4146,3308,838,5030,114,26,246,
CT,6/11/2020,328353,44689,42788,1901,4159,3321,838,8309,228,13,244,
CT,6/12/2020,342338,44994,43078,1916,4186,3342,844,13985,305,27,233,
CT,6/13/2020,347190,45088,43172,1916,4201,3355,846,4852,94,15,205,
CT,6/14/2020,354445,45235,43303,1932,4204,3356,848,7255,147,3,203,
CT,6/15/2020,359486,45349,43415,1934,4210,3362,848,5041,114,6,201,
CT,6/16/2020,365916,45359,43487,1942,4219,3373,846,6430,10,9,186,
CT,6/17/2020,370638,45440,43493,1947,4226,3378,848,4722,81,7,176,
CT,6/18/2020,377931,45557,43610,1947,4238,3385,853,7293,117,12,172,
CT,6/19/2020,389703,45715,43763,1952,4251,3394,857,11772,158,13,150,
CT,6/20/2020,393475,45755,43802,1953,4260,3401,859,3772,40,9,149,
CT,6/21/2020,395590,45782,43820,1962,4263,3403,860,2115,27,3,140,
CT,6/22/2020,399216,45899,43941,1958,4277,3414,863,3626,117,14,138,
CT,6/23/2020,400391,45913,43954,1959,4287,3423,864,1175,14,10,124,
CT,6/24/2020,406967,45994,44018,1976,4298,3434,864,6576,81,11,122,
CT,6/25/2020,414889,46059,44086,1973,4307,3440,867,7922,65,9,127,
CT,6/26/2020,427567,46206,44225,1981,4311,3443,868,12678,147,4,106,
CT,6/27/2020,436644,46303,44324,1979,4316,3448,868,9077,97,5,103,
CT,6/28/2020,442998,46362,44384,1978,4320,3451,869,6354,59,4,99,
CT,6/29/2020,464414,46514,44534,1980,4322,3453,869,21416,152,2,98,
CT,6/30/2020,475862,46572,44593,1979,4324,3457,867,11448,58,2,100,
CT,7/1/2020,487323,46646,44672,1974,4326,3459,867,11461,74,2,101,
CT,7/2/2020,497693,46717,44741,1976,4335,3463,872,10370,71,9,95,
CT,7/3/2020,505923,46803,44826,1977,4336,3464,872,8230,86,1,87,
CT,7/4/2020,514154,46889,44911,1978,4337,3465,872,8231,86,1,78,
CT,7/5/2020,522385,46976,44997,1979,4338,3466,872,8231,87,1,69,
CT,7/6/2020,528130,47033,45056,1977,4338,3466,872,5745,57,0,83,
CT,7/7/2020,535465,47108,45129,1979,4343,3471,872,7335,75,5,88,
CT,7/8/2020,543636,47209,45224,1985,4348,3476,872,8171,101,5,90,
CT,7/9/2020,556230,47287,45308,1979,4348,3476,872,12594,78,0,77,
CT,7/10/2020,566597,47361,45379,1981,4355,3481,874,10367,74,7,76,
CT,7/11/2020,576964,47435,45451,1984,4363,3486,876,10367,74,8,75,
CT,7/12/2020,587331,47510,45523,1987,4371,3492,879,10367,75,8,74,
CT,7/13/2020,589778,47530,45547,1983,4372,3497,875,2447,20,1,66,
CT,7/14/2020,602116,47636,45653,1983,4380,3505,875,12338,106,8,67,
CT,7/15/2020,613569,47750,45771,1979,4389,3515,874,11453,114,9,66,
CT,7/16/2020,627986,47893,45910,1983,4396,3519,877,14417,143,7,66,
CT,7/17/2020,637093,47947,45963,1983,4399,3521,878,9107,54,3,62,
CT,7/18/2020,646201,48001,46017,1983,4402,3523,879,9108,54,3,58,
CT,7/19/2020,655309,48055,46071,1984,4406,3525,881,9108,54,4,54,
CT,7/20/2020,660857,48096,46116,1980,4406,3527,879,5548,41,0,62,
CT,7/21/2020,672386,48149,46130,2019,4406,3527,879,11529,53,0,63,
CT,7/22/2020,685869,48232,46213,2019,4410,3530,880,13483,83,4,72,
CT,7/23/2020,711102,48776,46806,1970,4413,3531,882,25233,544,3,71,
CT,7/24/2020,721755,48845,46868,1976,4414,3532,882,10653,69,1,67,
